identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
doi:10.18739/A24Q7QR0V,BoulderPatchCoordinates.csv,latitude_dd,latitude,latitude in decimal degrees,degree,https://search.dataone.org/view/doi:10.18739/A24Q7QR0V,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A20C4SK70,eastern_lakewater_locationcodes_calon.csv,Latitude,NA,Latitude of site,degree,https://search.dataone.org/view/doi:10.18739/A20C4SK70,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A26M3340D,List_of_records.txt,Latitude,NA,latitude of mooring,degree,https://search.dataone.org/view/doi:10.18739/A26M3340D,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2016,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2015,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2VH5CJ8K,nagapData.csv,Latitude,NA,Latitude in decimal degrees,degree,https://search.dataone.org/view/doi:10.18739/A2VH5CJ8K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A24Q7QR0V,BoulderPatchCoordinates.csv,longitude_dd,longitude,longitude in decimal degrees,degree,https://search.dataone.org/view/doi:10.18739/A24Q7QR0V,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002132,longitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A20C4SK70,eastern_lakewater_locationcodes_calon.csv,Longitude,NA,Longitude of site,degree,https://search.dataone.org/view/doi:10.18739/A20C4SK70,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002132,longitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A26M3340D,List_of_records.txt,Longitude,NA,longitude of mooring,degree,https://search.dataone.org/view/doi:10.18739/A26M3340D,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002132,longitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2016,Longitude,NA,longitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002132,longitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2015,Longitude,NA,longitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002132,longitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2VH5CJ8K,nagapData.csv,Longitude,NA,Longitude in decimal degrees,degree,https://search.dataone.org/view/doi:10.18739/A2VH5CJ8K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002132,longitude coordinate,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2VH5CJ8K,nagapData.csv,Date,NA,Date in YYYY-MM-DD,NA,https://search.dataone.org/view/doi:10.18739/A2VH5CJ8K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002051,date,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2016,Date_Time_UTC,NA,date and time of sampling in coordinated universal time,NA,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002043,date and time of measurement,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2016,Date_Time_Local,NA,date and time of sampling in local time,NA,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002043,date and time of measurement,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2015,Date_Time_UTC,NA,date and time of sampling in coordinated universal time,NA,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002043,date and time of measurement,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A2F18SG0C,Site Metadata 2015,Date_Time_Local,NA,date and time of sampling in local time,NA,https://search.dataone.org/view/doi:10.18739/A2F18SG0C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002043,date and time of measurement,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A24Q7QR0V,BoulderPatchCoordinates.csv,full_site_name,NA,full name of site,NA,https://search.dataone.org/view/doi:10.18739/A24Q7QR0V,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002997,site identifier,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A24Q7QR0V,BoulderPatchCoordinates.csv,abbr_site_name,abbreviated site name,abbreviated site name,NA,https://search.dataone.org/view/doi:10.18739/A24Q7QR0V,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002997,site identifier,The Ecosystem Ontology,parent,NA,NA,NA
doi:10.18739/A20C4SK70,eastern_lakewater_locationcodes_calon.csv,Site,NA,Name of measurement site,NA,https://search.dataone.org/view/doi:10.18739/A20C4SK70,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002997,site identifier,The Ecosystem Ontology,parent,NA,NA,NA
